t AmpOcean AmpIce
1.344 0.0430711 0.0476377
1.352 0.0434743 0.0479957
1.36 0.0438626 0.0483394
1.368 0.044235 0.0486681
1.376 0.0445929 0.0489826
1.384 0.0449353 0.0492823
1.392 0.045263 0.0495674
1.4 0.0455749 0.0498372
1.408 0.0458731 0.0500934
1.416 0.046156 0.0503346
1.424 0.0464247 0.0505612
1.432 0.0466783 0.0507729
1.44 0.0469179 0.0509705
1.448 0.0471425 0.0511532
1.456 0.0473461 0.0513201
1.464 0.0475376 0.0514705
1.472 0.0477153 0.0516057
1.48 0.0478782 0.0517255
1.488 0.0480266 0.05183
1.496 0.0481611 0.0519208
1.504 0.0482821 0.0519962
1.512 0.0483888 0.0520565
1.52 0.0484817 0.0521022
1.528 0.0485603 0.0521331
1.536 0.048625 0.0521496
1.544 0.0486757 0.0521516
1.552 0.0487126 0.0521393
1.56 0.0487351 0.0521126
1.568 0.0487444 0.0520727
1.576 0.0487397 0.0520188
1.584 0.0487214 0.0519516
1.592 0.0486895 0.0518713
1.6 0.048644 0.051778
1.608 0.0485855 0.0516723
1.616 0.0485133 0.0515538
1.624 0.0484283 0.0514233
1.632 0.04833 0.0512805
1.64 0.048219 0.0511259
1.648 0.0480951 0.0509594
1.656 0.0479588 0.0507814
1.664 0.0478095 0.0505912
1.672 0.0476479 0.0503897
1.68 0.0474735 0.0501763
1.69 0.047237 0.0498918
1.6975 0.0470486 0.0496683
1.705 0.0468481 0.049434
1.7125 0.0466352 0.0491886
1.72 0.0464149 0.0489345
1.73 0.0461035 0.0485794
1.74 0.0457783 0.048211
1.74667 0.045554 0.047958
1.75333 0.0453228 0.0476981
1.76 0.0450845 0.0474319
1.77 0.0447134 0.0470208
1.78 0.0443284 0.0465992
1.79 0.0439292 0.0461637
1.795 0.0437261 0.0459433
1.8 0.0435199 0.0457198
1.81 0.0430926 0.0452622
1.82 0.0426554 0.0447969
1.83 0.0422046 0.044321
1.84 0.0417393 0.0438302
1.85 0.0412613 0.0433305
1.86 0.0407651 0.0428077
1.87 0.0402509 0.042267
1.875 0.0399895 0.0419887
1.88 0.0397299 0.0417212
1.89 0.0392057 0.0411811
1.9 0.0386673 0.0406255
1.91 0.0381212 0.0400567
1.92 0.0375679 0.0394756
1.93 0.0370067 0.03888
1.94 0.0364346 0.038267
1.95 0.0358557 0.0376429
1.96 0.0352693 0.0370057
1.97 0.0346723 0.0363552
1.98 0.0340703 0.0356981
1.99 0.0334589 0.035031
2 0.0328429 0.0343606
2.01 0.0322149 0.0336834
2.02 0.0315808 0.0330034
2.03 0.0309389 0.0323194
2.04 0.0302868 0.0316312
2.05 0.02963 0.0309425
2.06 0.0289666 0.0302523
2.07 0.0283003 0.0295619
2.08 0.0276275 0.0288708
2.09 0.0269522 0.0281785
2.1 0.0262698 0.0274841
2.11 0.0255867 0.0267884
2.12 0.0249176 0.0261144
2.13 0.0242419 0.0254326
2.14 0.0235654 0.0247533
2.15 0.0228931 0.0240761
2.16 0.022215 0.0233945
2.17 0.0215358 0.0227027
2.18 0.0208756 0.0220168
2.19 0.0202199 0.0213206
2.195 0.019895 0.0209737
2.2 0.0195662 0.0206206
2.21 0.0189045 0.0199051
2.22 0.018248 0.0191951
2.23 0.0175935 0.0184919
2.24 0.0169399 0.0177887
2.25 0.0162856 0.017099
2.26 0.0156374 0.016421
2.27 0.0149936 0.0157504
2.28 0.0143504 0.0150889
2.29 0.0137209 0.0144435
2.3 0.0131019 0.0137988
2.31 0.0124853 0.013158
2.32 0.0118722 0.01252
2.33 0.0112615 0.0118865
2.34 0.0106525 0.0112561
2.35 0.0100364 0.0106116
2.36 0.00944865 0.00998415
2.37 0.00885155 0.00934353
2.38 0.00826301 0.0087129
2.39 0.00769486 0.00809062
2.4 0.00719789 0.00747738
2.41 0.00678068 0.00685444
2.42 0.00642932 0.0063
2.43 0.00605343 0.0057764
2.44 0.00568235 0.0052583
2.45 0.00545136 0.00478439
2.46 0.00518804 0.00427583
2.47 0.0049399 0.00377588
2.48 0.00476694 0.00342887
2.49 0.00455243 0.0031045
2.5 0.00439156 0.00283883
2.51 0.00425927 0.00263334
2.52 0.00424903 0.00248966
2.53 0.00428326 0.00257835
2.54 0.00433119 0.00275716
2.55 0.00431004 0.00285492
2.56 0.00441801 0.00302287
2.57 0.00445852 0.00311499
2.58 0.00449496 0.00341412
2.59 0.00458926 0.00406582
2.6 0.00470103 0.00473256
2.61 0.00474569 0.00531807
2.62 0.0048661 0.00594433
2.63 0.00499944 0.00650843
2.64 0.00561743 0.00713049
2.65 0.00623123 0.00774194
2.66 0.00677387 0.00826443
2.67 0.0072904 0.00875049
2.68 0.00787922 0.00932051
2.69 0.00847073 0.00988523
2.7 0.00896808 0.0103418
2.71 0.00952387 0.0108611
2.72 0.0100769 0.0113752
2.73 0.0105551 0.011806
2.74 0.0110091 0.0122143
2.75 0.0115285 0.0126933
2.76 0.0120428 0.01317
2.77 0.0124824 0.0135647
2.78 0.0129019 0.0139414
2.79 0.0133788 0.0143811
2.8 0.013849 0.0148182
2.81 0.0142556 0.0151873
2.82 0.0147216 0.0156234
2.83 0.0151716 0.0160473
2.84 0.0155526 0.0163977
2.85 0.0159921 0.0168129
2.86 0.0164292 0.0172177
2.87 0.0168034 0.0175607
2.88 0.017218 0.0179582
2.89 0.0176121 0.0183368
2.9 0.0179507 0.0186558
2.91 0.0183272 0.0190143
2.92 0.0186135 0.019277
2.93 0.0188961 0.0195325
2.94 0.0192285 0.0198445
2.95 0.019486 0.0200697
2.96 0.0197447 0.0202978
2.97 0.0200412 0.0205686
2.98 0.0202802 0.020773
2.99 0.0205189 0.0209778
3 0.0207805 0.0212086
3.01 0.0209997 0.0213907
3.02 0.0212621 0.0216236
3.03 0.0215085 0.0218398
3.04 0.021711 0.0220058
3.05 0.0219361 0.0221995
3.06 0.022098 0.0223219
3.07 0.0222568 0.022443
3.08 0.0224384 0.0225921
3.09 0.0225779 0.022694
3.1 0.0227575 0.0228447
3.11 0.0229209 0.0229784
3.12 0.0230456 0.0230693
3.13 0.0231877 0.0231824
3.14 0.023277 0.0232364
3.15 0.0233628 0.0232883
3.16 0.0234639 0.0233599
3.17 0.0235319 0.0233959
3.18 0.0236298 0.0234658
3.19 0.0237127 0.0235203
3.2 0.0237653 0.0235429
3.21 0.0238294 0.0235791
3.22 0.0238525 0.0235715
3.23 0.0239106 0.0236033
3.24 0.0239519 0.0236176
3.25 0.0239612 0.0235982
3.26 0.0239837 0.0235943
3.27 0.0239634 0.0235447
3.28 0.0239817 0.0235386
3.29 0.0239833 0.0235151
3.3 0.0239512 0.0234563
3.31 0.0239354 0.0234166
3.32 0.0238733 0.0233274
3.33 0.0238558 0.0232884
3.34 0.0238211 0.0232316
3.35 0.0237499 0.0231365
3.36 0.0236993 0.023065
3.37 0.023597 0.0229381
3.38 0.0234923 0.0228097
3.39 0.0234079 0.0227048
3.4 0.0232923 0.0225667
3.41 0.0232078 0.0224662
3.42 0.0231117 0.0223525
3.43 0.0229863 0.0222075
3.44 0.0228773 0.0220828
3.45 0.0227258 0.0219102
3.46 0.0226189 0.0217907
3.47 0.0224984 0.0216555
3.48 0.0223406 0.0214795
3.49 0.0222083 0.0213345
3.5 0.0220193 0.0211248
3.51 0.0218293 0.0209141
3.52 0.0216684 0.0207398
3.53 0.0214676 0.0205202
3.54 0.021319 0.0203626
3.55 0.0211592 0.0201921
3.56 0.0209551 0.0199726
3.57 0.0207884 0.0197981
3.58 0.0206097 0.0196097
3.59 0.0203948 0.0193818
3.6 0.0202089 0.0191889
3.61 0.0199624 0.0189267
3.62 0.0197147 0.0186664
3.63 0.0195066 0.0184499
3.64 0.0192462 0.0181787
3.65 0.0190633 0.017991
3.66 0.0188721 0.0177944
3.67 0.0186095 0.0175234
3.68 0.0183355 0.0172399
3.69 0.0181135 0.0170138
3.7 0.0178463 0.0167395
3.71 0.0176273 0.0165182
3.72 0.0173513 0.0162366
3.73 0.0171339 0.0160188
3.74 0.016846 0.0157273
3.75 0.0165465 0.0154251
3.76 0.0163004 0.0151825
3.77 0.0160548 0.0149432
3.78 0.0157518 0.0146433
3.79 0.0155134 0.0144181
3.8 0.0152674 0.0141868
3.81 0.0149485 0.0138763
3.82 0.0146809 0.0136211
3.83 0.0143351 0.0132822
3.84 0.0139874 0.0129384
3.85 0.0137219 0.0126857
3.86 0.0133917 0.0123599
3.87 0.0131162 0.0120928
3.88 0.0127655 0.0117397
3.89 0.0124125 0.0113825
3.9 0.0121414 0.0111059
3.91 0.0118879 0.0108571
3.92 0.0115401 0.010499
3.93 0.0112736 0.0102288
3.94 0.0110213 0.009972
3.95 0.0106711 0.00960375
3.96 0.0104061 0.00932966
